"Name of the college","Affiliated To University","College address","District","State","Status","Year of Estb.","Teaching Upto","Govt or Non Govt","Aided or Unaided"
"Acharya First Grade College for Women","Bangalore University, Bangalore","M.G. Road, Gauribidanur, Dist. Kolar - 561 208","Kolar","Karnataka","2(f) and 12(B)","1982","Bachelor's","Non Government",""
"Acharya Girish Chandra Bose College","Calcutta University, Kolkata","35, Scott Lane, Calcutta - 9, District Calcutta","Kolkata","West Bengal","2(f) and 12(B)","1965","Bachelor's","Non Government",""
"Acharya Institute of Graduate Studies","Bangalore University, Bangalore","Acharya Dr. Sarvepalli Radhakrishnan Road, Acharya P.O., Bangalore – 560 107","Bangalore","Karnataka","2(f) and 12(B)","2005","Master's","Non Government","Unaided"
"Acharya Institute of Management and Sciences","Bangalore University, Bangalore","1st Cross, 1st Stage, Peenya, Bengaluru – 560 058","","Karnataka","2(f) and 12(B)","1994","Master's","Non Government","Unaided"
"Acharya Institute of Technology","Visvesvaraya Technological University, Belgaum","Soldevanahalli, Hesarghatta Main Road, Bangalore – 560 107","Bangalore","Karnataka","2(f)","2000","Master's","Non Government","Unaided"
"Acharya Jagadish Chandra Bose College","Calcutta University, Kolkata","1/1B, Acharya J.C. Bose Road, Calcutta - 20, District Calcutta","Kolkata","West Bengal","2(f) and 12(B)","1968","Bachelor's","Non Government",""
"Acharya Naendra Deo Kisan Degree College","Dr Ram Manohar Lohia Awadh University, Faizabad","Babhanan, District Gonda","Gonda","Uttar Pradesh","2(f) and 12(B)","1973","Master's","Non Government",""
"Acharya Narayana College","Dr. R.M.L. Avadh University  Ayodhya","Meerpur, Partappur District-Sultanpur, Pin-228 101","Sultanpur","Uttar Pradesh","2(f)","2016","Bachelor's","Non Government","Unaided"
"Acharya Narendra Deo Nagar Nigam Girls Degree (PG) College","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Harsh Nagar, District Kanpur Nagar","Kanpur Nagar","Uttar Pradesh","2(f) and 12(B)","1963","Master's","Government",""
"Acharya Narendra Dev College","University of Delhi, Delhi","Gobind Puri, Kalkaji - 110019","New Delhi","Delhi","2(f) and 12(B)","1991","Bachelor's","Government",""
"Acharya Pathasala College of Arts & Science","Bangalore University, Bangalore","N.R. Colony, Bangalore - 560 019","Bangalore","Karnataka","2(f) and 12(B)","1984","Bachelor's","Non Government",""
"Acharya Pathashala College of Commerce","Bangalore University, Bangalore","N.R. Colony, (Narasimharaja Colony), Bangalore - 560 019","Bangalore","Karnataka","2(f) and 12(B)","1984","Bachelor's","Non Government",""
"Acharya Pathashala Evening College of Arts & Commerce","Bangalore University, Bangalore","Nr Colony, Bangalore - 560 019","Bangalore","Karnataka","2(f) and 12(B)","1964","Bachelor's","Non Government",""
"Acharya Prafulla Chandra College","West Bengal State University, Kolkata","New Barrackpore, District North Twenty Four Paraganas","North Twenty Four Parganas","West Bengal","2(f) and 12(B)","1960","Bachelor's","Non Government",""
"Acharya Prafulla Chandra Roy Government College","North Bengal University, Darjeeling","Himachal Vihar, Matigara, Siliguri – 734 010, Dist. Darjeeling","Darjiling","West Bengal","2(f) and 12(B)","2010","Bachelor's","Government","Aided"
"Acharya Sukumar Sen Mahavidyalaya","University of Burdwan, Burdwan","Vill&P.O.-Gotan, Dist. Purba Bardhaman-712 410","","West Bengal","2(f)","2013","Bachelor's","Non Government","Aided"
"Acharya Tara Chand Shastri Mahvidhyalaya","Dr. B.R. Ambedkar University, Agra","Sawai Etmadpur, Agra-283 202,","Agra","Uttar Pradesh","2(f)","2015","Bachelor's","Non Government","Unaided"
"Acharya Triveni Das Balika Mahavidyalay,","V.B.S. Purvanchal University, Jaunpur","Nasirabad, Umesh Nagar,  Ghazipur-233 304,","Ghazipur","Uttar Pradesh","2(f)","2017","Bachelor's","Non Government","Unaided"
"Acharya Tulsi National College of Commerce","Kuvempu University, Shankaraghatta","Shivamogga, Dist. Shivamogga - 577 201","Shimoga","Karnataka","2(f) and 12(B)","1966","Bachelor's","Non Government","Aided"
"Acharya Vinoba Bhave Degree College","Dr Ram Manohar Lohia Awadh University, Faizabad","Prem Nagar, Chhira, Sultanpur","Sultanpur","Uttar Pradesh","2(f)","2000","Bachelor's","Non Government",""
"Acharya’s NRV School of Architecture","Visvesvaraya Technological University, Belgaum","Acharya Dr. Sarvepalli Radhakrishnan Road, Acharya P.O., Bangalore – 560 107","Bangalore","Karnataka","2(f)","2009","Bachelor's","Non Government","Unaided"
"Achhruram Memorial College","Burdwan University, Burdwan","Jhalda, District Purulia","Puruliya","West Bengal","2(f) and 12(B)","1975","Bachelor's","Non Government",""
"Achyarya Jawadekar Shikshan Shastra Mahavidyalaya","Shivaji University, Kolhapur","Gargoti, Dist. Kolhapur - 416 203","Kolhapur","Maharashtra","2(f) and 12(B)","1956","Master's","Non Government",""
"ACME College of Engineering","Gautam Budh Technical University, Lucknow","4th K.M. Stone, Ganga Canal Road, Didoli, Muradnagar, Ghaziabad – 201 206","Ghaziabad","Uttar Pradesh","2(f)","2009","Bachelor's","Non Government",""
"Acme Institute of Management & Technology","Dr. B.R. Ambedkar University, Agra","Sikindra (Agra)","Agra","Uttar Pradesh","2(f)","1999","Bachelor's","Non Government",""
"ACS College of Engineering","Visvesvaraya Technological University, Belgaum","Bangalore – 560 074","Bangalore","Karnataka","2(f)","2009","Master's","Non Government","Unaided"
"Adaikalamatha College","Bharathidasan University, Tiruchirappalli","Arun Nagar, Vallam,  Thanjavur – 613 403","Thanjavur","Tamil Nadu","2(f)","1988","Master's","Non Government","Unaided"
"Adarash College","Vinoba Bhave University, Hazaribagh","Raj Dhanwar, Dist. Giridih","Giridih","Jharkhand","2(f)","1973","Bachelor's","Government",""
"Adarsh Arts and Commerce College","Gondwana University, Gadchiroli","Desaiganj (Wadsa), Dist. Gadchiroli – 441 207","Gadchiroli","Maharashtra","2(f)","1989","Bachelor's","Non Government","Aided"
"Adarsh Bharti Mahavidyalaya","Sampurnanand Sanskrit Vishwavidyalaya, Varanasi","Khetasarai, Jaunpur - 222 139","Jaunpur","Uttar Pradesh","2(f) and 12(B)","1952","Bachelor's","Non Government",""
"Adarsh College of Education","Dr Ram Manohar Lohia Awadh University, Faizabad","Village - Salarpur, P.O. – Dewa, Distt. Barabanki – 225 301","Dewas","Uttar Pradesh","2(f)","2015","Bachelor's","Non Government","Unaided"
"Adarsh College of Education","Jammu University, Jammu Tawi","Tarore Bridge National Highway, Distt. Samba","Jammu","Jammu and Kashmir","2(f)","2000","Bachelor's","Non Government","Unaided"
"Adarsh College of Science, Commerce & Arts","Kakatiya University, Warangal","Jami Kunta - 505 122","","Telangana","2(f) and 12(B)","1965","Bachelor's","Non Government",""
"Adarsh Comprehensive College of Education & Research","Savitribai Phule Pune University, Pune","Karve Road, Pune - 411 004, Dist. Pune","Pune","Maharashtra","2(f) and 12(B)","1970","Bachelor's","Non Government",""
"Adarsh Devkali Baba Smarak Mahavidyalaya","Veer Bahadur Singh Purvanchal University, Jaunpur","Udaina, Post - Ahiraula, Dist. – Azamgarh – 223 221","Azamgarh","Uttar Pradesh","2(f) and 12(B)","2005","Bachelor's","Non Government",""
"Adarsh Hindi Mahavidyalaya Degree Colege","Osmania University, Hyderabad","Gurubabadi Road, Nizamabad, District Nizamabad - 503 002","Nizamabad","Telangana","2(f) and 12(B)","1972","Bachelor's","Non Government",""
"Adarsh Institute of Management & Science","Devi Ahilya Vishwavidyalaya, Indore","A.B. Road, Dhamnod, Dist. Dhar - 454 552","Dhar","Madhya Pradesh","2(f) and 12(B)","2009","Bachelor's","Non Government","Unaided"
"Adarsh Janta Mahavidyalaya","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Deokali, Lakhimpur – Kheri – 262 701","Kheri","Uttar Pradesh","2(f) and 12(B)","2005","Bachelor's","Non Government","Unaided"
"Adarsh Janta Mahavidyalaya","Mahatma Gandhi Kashi Vidyapeeth, Varanasi","Kolana, (Chunar) District – Mirzapur – 231 304","Mirzapur","Uttar Pradesh","2(f) and 12(B)","2007","Bachelor's","Non Government","Unaided"
"Adarsh Janta Mahavidyalaya","Dr. B.R. Ambedkar University, Agra","Girora, Etah – 207 001","Etah","Uttar Pradesh","2(f) and 12(B)","2003","Bachelor's","Non Government","Unaided"
"Adarsh Kanya Mahavidyalaya","Dr Ram Manohar Lohia Awadh University, Faizabad","Jiyapur Buruwa Jalaki, Kadar Nagar, Tanda-Ambedkar Nagar","Ambedkar Nagar","Uttar Pradesh","2(f)","2001","Bachelor's","Non Government",""
"Adarsh Krishan College of Education","Dr. B.R. Ambedkar University, Agra","Bhoop Nagar, Mainpuri – 205 001","Mainpuri","Uttar Pradesh","2(f) and 12(B)","2004","Bachelor's","Non Government","Unaided"
"Adarsh Mahavidhyalaya","Jai Narain Vyas University, Jodhpur","Khasra No. 827/650,  Pal Chopasmni link Road,  Opp. Lariya Resort,","Jodhpur","Rajasthan","2(f)","2005","Master's","Non Government","Unaided"
"Adarsh Mahila Mahaviyalaya","Maharishi Dayanand  University, Rohtak","Bhiwani, Dist. Bhiwani - 127 021","Bhiwani","Haryana","2(f) and 12(B)","1970","Bachelor's","Non Government","Aided"
"Adarsh Nanhku Ram Mahavidyalay","Veer Bahadur Singh Purvanchal University, Jaunpur","Ramgarh, Barawan, Jaunpur – 222 143","Jaunpur","Uttar Pradesh","2(f)","2015","Bachelor's","Non Government","Unaided"
"Adarsh Samaj Mahavidyalaya","Dr. B.R. Ambedkar University, Agra","New Bye Pass, Daulatpur, Post Muiuddinpur, Firozabad – 283 203","Firozabad","Uttar Pradesh","2(f) and 12(B)","2009","Bachelor's","Non Government","Unaided"
"Adarsh Sangit College","Indira Kala Sangeet Vishwavidyalaya, Khairagarh","Ravinder Bhavar Vrindavan Sagar, Dist. Sagar","Sagar","Madhya Pradesh","2(f) and 12(B)","1982","Master's","Non Government",""
"Adarsh Satendra Mahavidyalaya","Lucknow University, Lucknow","Mall, Lucknow – 226 104","Lucknow","Uttar Pradesh","2(f) and 12(B)","2011","Bachelor's","Non Government","Unaided"
"Adarsh Science, J.B. Arts and Birla Commerce Mahavidyalaya","Sant Gadge Baba Amravati University, Amravati","Dhamngaon, Dist. Amravati","Amravati","Maharashtra","2(f) and 12(B)","1961","Master's","Non Government",""
"Adarsh Sewa Bhartiya Mahavidyalaya","Sampurnanand Sanskrit Vishwavidyalaya, Varanasi","Ramgawan, Pahlipatti, Varanasi","Varanasi","Uttar Pradesh","2(f) and 12(B)","1991","Bachelor's","Non Government",""
"Adarsh Shikshan Sanstha’s Kalikadevi Arts, Commerce & Science College","Dr. Babasaheb Ambedkar Marathwada University, Aurangabad","Tq. Shirur Kasar, Dist. Beed – 413 249","Bid","Maharashtra","2(f) and 12(B)","2002","Bachelor's","Non Government","Aided"
"Adarsh Shri Basudeo Sanskrit Mahavidyalaya","Sampurnanand Sanskrit Vishwavidyalaya, Varanasi","Gutwan, Jaunpur","Jaunpur","Uttar Pradesh","2(f) and 12(B)","1952","Master's","Non Government",""
"Adarsh Vidya Mandir College of Education Shiksha Mahavidyalaya","Rajasthan University, Jaipur","Adarsh Nagar, Jaipur, District Jaipur","Jaipur","Rajasthan","2(f)","1979","Bachelor's","Non Government",""
"Adarsh Vidya Prasarak Sanstha’s, Adarsh College of Arts & Commerce","Mumbai University, Mumbai","Near Kulgaon -Badlapur Municipal Council Office, At & Post Kulgaon, Rly. Stn. Badlapur (E), Pin – 421 503, Dist. Thane","Thane","Maharashtra","2(f) and 12(B)","1995","Bachelor's","Non Government",""
"Adarsh Vidya Vardhaka Sangha Shiv Parappasangappa Sajjan Art College","Karnataka University, Dharwad","Bangalore - 587 115","Bangalore","Karnataka","2(f) and 12(B)","1992","Bachelor's","Non Government",""
"Adarsha Education Society's Arts, Commerce and Science College","Swami Ramanand Teerth Marathwada University, Nanded","Hingoli, Dist. Parbhani - 431 513","Parbhani","Maharashtra","2(f) and 12(B)","1967","Master's","Government",""
"Adarsha Shikshna Samiti's Commerce College","Karnataka University, Dharwad","Gadag, Dist. Gadag","Gadag","Karnataka","2(f) and 12(B)","1968","Bachelor's","Non Government",""
"Adharsh Vidhyalaya College of Arts & Science For Women","Bharathiar University, Coimbatore","Paruvachi PO, Bhavani TK,  Erode- 638 312,","Erode","Tamil Nadu","2(f)","2007","Master's","Non Government","Unaided"
"Adharshila College of Education","Choudhary Charan Singh University, Meerut","NH – 58, Partapur – Byepass, Dungerawali, Meerut – 250 103","Meerut","Uttar Pradesh","2(f) and 12(B)","2005","Bachelor's","Non Government",""
"Adhi College of Engineering and Technology","Anna University, Chennai","No. 6, Munu Adhi Nagar, Sankarapuram, Puliambakkam Post, Near Wallajabad, Kanchipuram Dist. - 631 605","Kancheepuram","Tamil Nadu","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Adhi Yamaan College of Engineering","Anna University, Chennai","Dr. M.G.R. Nagar, Hosur - 635 109","Hosur","Tamil Nadu","2(f)","1987","Bachelor's","Non Government",""
"Adhiparasakthi College of Arts and Science","Thiruvalluvar University, Vellore","G.B. Nagar, Kalavai-632 506, Vellore District","Vellore","Tamil Nadu","2(f) and 12(B)","1988","Master's","Non Government","Unaided"
"Adhiparasakthi College of Pharmacy","Tamilnadu Dr. M.G.R. Medical University, Chennai","Melmaruvathur – 603 319","","Tamil Nadu","2(f)","1993","Master's","Non Government","Unaided"
"Adhiparasakthi Engineering College","Anna University, Chennai","Melmaruvathur, Cheyyur Taluk, District Kancheepuram - 603 319","Kancheepuram","Tamil Nadu","2(f) and 12(B)","1984","Master's","Non Government","Unaided"
"Adhiyamaan College of Engineering","Anna University, Chennai","Dr. M.G.R. Nagar, Hosure – 635 109","Hosure","Tamil Nadu","2(f) and 12(B)","1987","Master's","Non Government","Unaided"
"Adhiyaman Arts and Science College for Women","Periyar University, Salem","Srinivasa Nagar, Uthangarai, Krishnagiri – 635 207","Krishnagiri","Tamil Nadu","2(f) and 12(B)","2012","M.Phil","Non Government","Unaided"
"Adhunik Institute of Education & Research","Choudhary Charan Singh University, Meerut","6th Mile Stone, Delhi-Meerut Road, Morta, Ghaziabad","Ghaziabad","Uttar Pradesh","2(f)","2004","Master's","Non Government",""
"Adhyapak Mahavidyalaya","Savitribai Phule Pune University, Pune","Araneshwar, Pune - 411 009, Dist. Pune","Pune","Maharashtra","2(f) and 12(B)","1970","Bachelor's","Non Government",""
"Adhyapak Shiksha Mandal's C.H.C. Arts S.G. Patel Commerce & Babaji B.J. Patel Science College","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Taloda, District Nandurbar - 425 413","Nandurbar","Maharashtra","2(f) and 12(B)","1971","Bachelor's","Non Government",""
"Adichunchanagiri Institute of Technology","Visvesvaraya Technological University, Belgaum","Chikkamagaluru – 577 102","","Karnataka","2(f)","1980","Master's","Non Government","Unaided"
"Adikari Saraldass College","Utkal  University,  Bhubaneswar","Sarala Vihar, Tirloc, District Cuttack","Cuttack","Odisha","2(f) and 12(B)","1978","Bachelor's","Non Government",""
"Adishakati Dhandai Mata Shikshan Prasarak Sanstha’s Late Annasaheb R.D. Deore Arts & Science College","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Mhasadi, Tal – Sakri, Dist. Dhule – 424 304","Dhule","Maharashtra","2(f) and 12(B)","1998","Bachelor's","Non Government","Aided"
"Aditanar College of Arts & Science","Manonmaniam Sundaranar University, Tirunelveli","Tiruchendur, District Tuticorin - 628 216","","Tamil Nadu","2(f) and 12(B)","1965","Master's","Non Government",""
"Adithya Institute of Technology","Anna University, Chennai","S.F. No. 348/1, 349/1, Kurumbapalayam Vill., SS Kulam Post, Coimbatore - 641 107","Coimbatore","Tamil Nadu","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Aditi Mahavidyalaya","University of Delhi, Delhi","Delhi Auchandi Raod, Bawana - 110 039","","Delhi","2(f) and 12(B)","1994","Bachelor's","Non Government",""
"Aditya College of Architecture","Mumbai University, Mumbai","Aditya Educational Campus, R. M. Bhattad Road, Ram Nagar, Borivali (West), Mumbai - 400 092","Mumbai","Maharashtra","2(f)","2013","Bachelor's","Non Government","Unaided"
"Aditya College of Engineering","Jawaharlal Nehru Technological University, Kakinada","Aditya Nagar, ADB Road Surampalem – 533 437, Near Kakinada, E.G. Dist.","East Godavari","Andhra Pradesh","2(f) and 12(B)","2008","Master's","Non Government","Unaided"
"Aditya College of Engineering & Technology","Jawaharlal Nehru Technological University, Kakinada","Aditya Nagar, ADB Road Surampalem – 533 437, Near Kakinada, E.G. Dist.","East Godavari","Andhra Pradesh","2(f) and 12(B)","2004","Master's","Non Government","Unaided"
"Aditya College of Engineering,","Jawaharlal Nehru Technological University Anantapur, Andhra Pradesh.","Punganur Road,  Valasapalle Post,  Madanapalle – 517 325, Chittoor Dist.","Chittoor","Andhra Pradesh","2(f)","2009","Bachelor's","Non Government","Unaided"
"Aditya College of Law","Dr. B.R. Ambedkar University, Agra","District Agra","Agra","Uttar Pradesh","2(f)","1999","Bachelor's","Non Government",""
"Aditya College of Pharmacy","Jawaharlal Nehru Technological University, Kakinada","Aditya Nagar, ADB Road, Surampalem – 533 437, Near Kakinada, E.G. District","East Godavari","Andhra Pradesh","2(f)","2006","Master's","Non Government","Unaided"
"Aditya Degree College","Adikavi Nannaya University, Rajahmundry","Lakshminarayana Nagar, Kakinada- 533 003,  East Godavari, Andhra Pradesh","","Andhra Pradesh","2(f) and 12(B)","1998","Bachelor's","Non Government","Unaided"
"Aditya Degree College","Andhra University,Visakhapatnam","Aditya Degree College, #30-6-2, Opp. BSNL Office, Prema Samajam Road, Dabagardens, Visakhapatnam-530 020, Andhra Pradesh","Visakhapatnam","Andhra Pradesh","2(f)","2005","Bachelor's","Non-Government","Unaided"
