"Name of the college","Affiliated To University","College address","District","State","Status","Year of Estb.","Teaching Upto","Govt or Non Govt","Aided or Unaided"
"Govt. Degree College","Sri Krishnadevaraya University, Anantapur","Srisailam Project, Kurnool District","Kurnool","Andhra Pradesh","2(f) and 12(B)","1993","Bachelor's","Government","Aided"
"Govt. Degree College","Choudhary Charan Singh University, Meerut","Nanuta, Saharanpur - 247 452","","Uttar Pradesh","2(f) and 12(B)","2003","Bachelor's","Government",""
"Govt. Degree College","Hemwati Nandan Bahuguna Garhwal University, Srinagar","Chaubattakhal, Pauri Garhwal – 246 162","","Uttarakhand","2(f) and 12(B)","1979","Bachelor's","Government","Aided"
"Govt. Degree College","Dr. B.R. Ambedkar University, Agra","Gonda – Iglas (Aligarh) – 202 123","","Uttar Pradesh","2(f) and 12(B)","1998","Bachelor's","Government","Aided"
"Govt. Degree College","Kashmir University, Srinagar","Gurez – 193 503, District Bandipora, Kashmir","Kashmir","Jammu and Kashmir","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Kakatiya University, Warangal","Sudimall, Yellandu (M), Khammam Dist. – 507 123","","Telangana","2(f) and 12(B)","1991","Bachelor's","Government","Aided"
"Govt. Degree College","Kashmir University, Srinagar","Dooru, Anantnag, Kashmir – 192 211","Kashmir","Jammu and Kashmir","2(f) and 12(B)","2005","Bachelor's","Government","Aided"
"Govt. Degree College","Kashmir University, Srinagar","Pattan – 193 121","Kashmir","Jammu and Kashmir","2(f) and 12(B)","2005","Bachelor's","Government","Aided"
"Govt. Degree College","Jammu University, Jammu Tawi","Ramnagar, (Udhampur) – 182 122","Jammu","Jammu and Kashmir","2(f) and 12(B)","2005","Bachelor's","Government",""
"Govt. Degree College","Kashmir University, Srinagar","Sogam, Kupwara, Kashmir – 193 223","Kashmir","Jammu and Kashmir","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Kashmir University, Srinagar","Kokernag – 192 202, District Anantnag","Kashmir","Jammu and Kashmir","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Dr. Harisingh Gour Vishwavidyalaya, Sagar","Damua, Dist. Chhindwara","","Madhya Pradesh","2(f)","1989","Bachelor's","Government","Aided"
"Govt. Degree College","Kashmir University, Srinagar","Uttersoo (Anantnag)  – 192 201","Kashmir","Jammu and Kashmir","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Kashmir University, Srinagar","Khansahib, Budgam, Kashmir - 191 111","Kashmir","Jammu and Kashmir","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Jammu University, Jammu Tawi","Paloura, Jammu","Jammu","Jammu and Kashmir","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Tripura University, Agartala","Khumulwng","","Tripura","2(f) and 12(B)","2007","Bachelor's","Government","Aided"
"Govt. Degree College","Jammu University, Jammu Tawi","Bani – 184 206, Dist. Kathua","Jammu","Jammu and Kashmir","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Choudhary Charan Singh University, Meerut","Chhaprauli (Baghpat)","","Uttar Pradesh","2(f) and 12(B)","1997","Bachelor's","Government","Aided"
"Govt. Degree College","Jammu University, Jammu Tawi","Samba – 184 121","Jammu","Jammu and Kashmir","2(f) and 12(B)","2005","Bachelor's","Government","Aided"
"Govt. Degree College","Devi Ahilya Vishwavidyalaya, Indore","Bhikangaon – 451 331, Dist. Khargone","","Madhya Pradesh","2(f) and 12(B)","1988","Bachelor's","Government","Aided"
"Govt. Degree College","Jammu University, Jammu Tawi","R.S. Pura, Jammu","Jammu","Jammu and Kashmir","2(f) and 12(B)","2005","Bachelor's","Government","Aided"
"Govt. Degree College","Jammu University, Jammu Tawi","Banihal – 182 146","Jammu","Jammu and Kashmir","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Jammu University, Jammu Tawi","Nowshera, Distt. Rajouri","Jammu","Jammu and Kashmir","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Acharya Nagarjuna University, Nagarjuna Nagar","Kanigiri – 523 230, Dist. Prakasam","Prakasam","Andhra Pradesh","2(f) and 12(B)","1983","Bachelor's","Government","Aided"
"Govt. Degree College","M.J.P.Rohilkhand University, Bareilly","Gangeshwari, J.P. Nagar","","Uttar Pradesh","2(f) and 12(B)","2006","Bachelor's","Government","Aided"
